county_name,reg_voters,likely_dems,likely_repubs,dnc_precinct_id,van_precinct_id,van_precinct_name
,1,0,0,555484,951042,3900
,0,0,0,555485,951162,4625
,0,0,0,555490,954772,0019
,1,0,0,555493,951642,0151
,1,0,0,555494,952526,0226
,2,0,0,555495,949697,0001a
,0,0,0,555498,952691,0393
,2,0,0,555503,952802,0507
,0,0,0,555504,955591,1294
,1,0,0,555505,954186,0022
,1,0,0,555515,954562,0014
,1,0,0,555519,952500,0199
,1,0,0,555520,955980,4129
,2,0,0,555539,952096,0003
,0,0,0,555542,952643,0345
,1,0,0,555543,954346,0066
,2,0,0,559114,955414,0056
,1,0,0,559121,953573,0323
,1,0,0,559124,953626,0009
,6,0,0,559127,953546,0001
,1,0,0,559139,951592,0101
,1,0,0,559146,951705,0013
,1,0,0,559147,955741,2425
,1,0,0,559158,952182,0012
,1,0,0,559170,955567,1208
,1,0,0,559190,955581,1270
,1,0,0,559193,951777,1067
,1,0,0,559196,956100,0403
,2,0,0,561192,953448,0013
,3,0,0,561195,951594,0103
,1,0,0,561204,955817,3193
,1,0,0,561219,950381,0146
,1,0,0,561226,949452,3148
,2,0,0,561227,953050,0764
,1,0,0,561228,955934,4016
,1,0,0,561233,955402,0044
,1,0,0,561249,952562,0262
,1,0,0,561252,955131,0004
,1,0,0,561257,955236,0316
,2,0,0,561266,953636,0020
,1,0,0,561267,952173,0003
,14,0,0,561289,950168,0009
,1,0,0,561293,952305,0004
,1,0,0,561299,954998,0320
,0,0,0,561302,954244,0120
,1,0,0,561311,951699,0007
,4,0,0,561314,953210,0336
,1,0,0,561317,951640,0149
,0,0,0,561338,956351,0352
,2,0,0,561343,956217,0124
,1,0,0,561370,956485,0006
,1,0,0,561371,956182,0319
,1,0,0,561374,954551,0003
,1,0,0,561376,952428,0127
,1,0,0,561378,950497,0219
,1,0,0,561382,953651,0009
,1,0,0,563111,953226,0303
,2,0,0,563120,950356,0121
,1,0,0,563122,953915,0314
,1,0,0,563126,956773,0048
,5,0,0,563135,952646,0348
,1,0,0,563156,955970,4113
,1,0,0,563166,955688,2223
,1,0,0,563175,951455,0109
,1,0,0,563188,951339,0415
,2,0,0,563190,956953,04-2
,3,0,0,563191,954205,0044
,6,0,0,563193,954559,0011
,1,0,0,563195,952913,0619
,1,0,0,563204,950736,2135
,1,0,0,563210,955940,4045
,1,0,0,563212,956620,0109
,1,0,0,563215,952948,0655
,1,0,0,563244,951650,0159
,1,0,0,563253,954731,0014
,1,0,0,563266,951249,0130
,1,0,0,563274,953219,0448
,1,0,0,563282,949003,0101
,2,0,0,563294,950884,3217
,1,0,0,563299,955991,4163
,1,0,0,563304,955710,2307
,1,0,0,563312,955974,4121
,1,0,0,563316,951429,0306
,0,0,0,563321,953488,0017
,0,0,0,563322,953458,0011
,1,0,0,563327,950349,0114
,0,0,0,563330,952827,0533
,3,0,0,563333,951601,0110
,1,0,0,563337,952984,0694
,2,0,0,563339,951254,0136
,2,0,0,565027,950195,0044
,0,0,0,565028,956445,0003
,1,0,0,565043,953913,0308
,0,0,0,565051,952657,0359
,0,0,0,565060,949864,010a
,2,0,0,565066,954198,0035
,1,0,0,565068,955773,2541
,1,0,0,565077,951711,0019
,1,0,0,565079,952731,0434
,2,0,0,565084,955203,0001c
,2,0,0,565091,951750,0018
,1,0,0,565102,956099,0402
,4,0,0,565110,950169,0010
,1,0,0,565129,956531,0019
,1,0,0,565134,949046,0406
,1,0,0,565136,954073,0013
,0,0,0,565137,950643,1503
,1,0,0,565144,950839,2504
,3,0,0,565149,955133,0007
,3,0,0,565151,952250,0419
,1,0,0,565167,948836,0007
,2,0,0,565169,949706,0029
,1,0,0,565172,953563,0213
,0,0,0,565178,949023,0210
,2,0,0,565189,951579,0088
,1,0,0,565200,956483,0004
,1,0,0,565218,952345,0044
,1,0,0,565222,950774,2222
,2,0,0,565228,953304,0045
,2,0,0,565232,950563,1124
,1,0,0,566940,951618,0127
,1,0,0,566950,955207,0003b
,5,0,0,566953,951638,0147
,1,0,0,566973,949505,4028
,2,0,0,566987,953054,0768
,1,0,0,566988,951309,0317
,0,0,0,566994,955717,2316
,1,0,0,566997,949468,3165
,1,0,0,567006,952063,0013
,0,0,0,567008,950996,3544
,1,0,0,567012,956512,0033
,16,0,0,567027,948853,0024
,2,0,0,567036,952980,0690
,2,0,0,567042,950262,0027
,1,0,0,567045,952126,0034
,0,0,0,567048,954659,0015
,0,0,0,567063,953314,0055
,1,0,0,567074,950805,2304
,1,0,0,567079,953776,0002
,20,0,0,567081,951310,0318
,0,0,0,567084,953073,0788
,1,0,0,567086,952589,0290
,1,0,0,567088,952101,0008
,1,0,0,567092,956464,0005
,1,0,0,567096,952559,0259
,1,0,0,567099,950896,3309
,1,0,0,567104,949416,3111
,2,0,0,567106,949750,0028
,1,0,0,567120,953338,0079
,1,0,0,570754,954884,0101
,2,0,0,570757,954623,0075
,0,0,0,570761,950875,3208
,1,0,0,570778,952167,0020
,1,0,0,570790,952542,0242
,2,0,0,570803,953032,0744
,1,0,0,570810,955883,3422
,1,0,0,570815,953832,0010
,1,0,0,570822,951961,0216
,1,0,0,570828,951562,0071
,1,0,0,570829,951446,0005
,1,0,0,570835,951563,0072
,0,0,0,570840,955628,1475
,1,0,0,572779,952942,0648
,1,0,0,572780,953921,0416
,1,0,0,572786,950030,0016
,0,0,0,572792,950028,0014
,0,0,0,572793,954754,0001
,0,0,0,572796,955244,0418
,1,0,0,572800,952549,0249
,4,0,0,572812,952682,0384
,3,0,0,572819,953203,0315
,2,0,0,572822,952952,0659
