id,source_id,county_name,county_fips,location_name,address_line1,location_detail,city,state,state_fips,zip5,zip4,latitude,longitude,schedule,exceptions,notes,source,date_acquired,county_wide,van_precinct_ids
840,,MCLENNAN,309,MCLENNAN COUNTY RECORDS BUILDING,214 N. 4TH STREET SUITE 300,,WACO,TX,48,76701,,31.558408,-97.132122,10/18 1 PM-6 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 1 PM-6 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
841,,MCLENNAN,309,ROBINSON COMMUNITY CENTER,106 W. LYNDALE AVENUE,,ROBINSON,TX,48,76706,,31.468003,-97.115981,10/18 1 PM-6 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 1 PM-6 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
842,,MCLENNAN,309,WACO MULTI PURPOSE COMMUNITY CENTER,1020 ELM STREET,,WACO,TX,48,76704,,31.571538,-97.121817,10/18 1 PM-6 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 1 PM-6 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
843,,MCMULLEN,311,MCMULLEN COUNTY COURTHOUSE,501 RIVER STREET,,TILDEN,TX,48,78072,,28.460938,-98.549347,10/19-10/23 08:00 AM-04:00 PM; 10/26-10/30 08:00 AM-04:00 PM,,,State Party,2020-10-27,TRUE,
844,,MEDINA,325,DR. GEORGE S WOODS COMMUNITY CENTER,200 EAST HONDO AVE,,DEVINE,TX,48,78016,,29.139673,-98.904943,"10/19-10/23,10/26,10/28,10/30 8A-5P; 10/24 9A-2P; 10/27,10/29 7A-7P",,,State Party,2020-10-27,TRUE,
845,,MEDINA,325,ELECTIONS DEPARTMENT HONDO,1202 14TH STREET,,HONDO,TX,48,78861,,29.35159,-99.142176,"10/19-10/23,10/26,10/28,10/30 8A-5P; 10/24 9A-2P; 10/27,10/29 7A-7P",,,State Party,2020-10-27,TRUE,
846,,MEDINA,325,MEDINA COUNTY BLDG PCT 2 CASTROVILLE,8366 FM 471 S,,CASTROVILLE,TX,48,78009,,29.346405,-98.839757,"10/19-10/23,10/26,10/28,10/30 8A-5P; 10/24 9A-2P; 10/27,10/29 7A-7P",,,State Party,2020-10-27,TRUE,
847,,MENARD,327,COUNTY COURTHOUSE,206 E SAN SABA AVE,,MENARD,TX,48,76859,,30.917075,-99.783582,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
848,,MIDLAND,329,CALVARY ASSEMBLY OF GOD,908 JOHNSTON,,MIDLAND,TX,48,79701,,31.986587,-102.08635,10/19-10/23 8 AM-5 PM 10/24 8 AM-6 PM 10/25 1 PM-6 PM 10/26-10/28 8 AM-6 PM 10/29-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
849,,MIDLAND,329,CENTENNIAL LIBRARY,2503 W LOOP 250 N,,MIDLAND,TX,48,79705,,32.035134,-102.116937,10/19-10/23 8 AM-5 PM 10/24 8 AM-6 PM 10/25 1 PM-6 PM 10/26-10/28 8 AM-6 PM 10/29-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
850,,MIDLAND,329,ELECTIONS OFFICE,2110 NORTH A STREET,,MIDLAND,TX,48,79705,,32.018983,-102.088054,10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 1 PM-6 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
851,,MIDLAND,329,FAIRMONT PARK CHURCH,3813 N MIDLAND DR,,MIDLAND,TX,48,79707,,32.022077,-102.144527,10/19-10/23 8 AM-5 PM 10/24 8 AM-6 PM 10/25 1 PM-6 PM 10/26-10/28 8 AM-6 PM 10/29-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
